ingredient_id,name,chemical_formula,weight_in_grams,cost_per_gram,provider_id,generation_date,batch_number
101,Sodium Citrate,C6H5Na3O7,122,8.2,7,7-May-24,1
102,Calcium Lactate,C4H6CaO4,162.1,9.5,78,7-May-24,1
103,Potassium Bitartrate,C12H16K2O7,210.3,10.8,50,7-May-24,1
104,Glycerin,C3H8O3,92.1,6.2,62,7-May-24,1
105,Sorbitol,C6H14O6,182.2,9,79,7-May-24,1
106,Citric Acid,C6H8O7,192.2,11.2,28,7-May-24,1
107,Lactic Acid,C3H6O3,90.1,7.5,82,7-May-24,1
108,Fumaric Acid,C4H4O4,116.1,8,68,7-May-24,1
109,Malic Acid,C4H6O5,134.1,9.5,79,7-May-24,1
110,Tartaric Acid,C4H6O6,162.1,11.2,12,7-May-24,1
111,Limonene,C10H16,134.2,12.8,96,7-May-24,1
112,Linalool,C10H18,154.3,13.5,52,7-May-24,1
113,Geraniol,C10H16O,154.2,14.2,81,7-May-24,1
114,Citronellal,C10H20,168.3,15,107,7-May-24,1
115,Eugenol,C10H12O2,162.2,16.8,22,7-May-24,1
116,Butyric Acid,C4H9SO3H,102.1,8.5,8,7-May-24,1
117,Propionic Acid,C4H7SO3H,102.1,8.5,56,7-May-24,1
118,Benzoic Acid,C6H5COOH,122.1,10.2,61,7-May-24,1
119,Salicylic Acid,C7H6O3,138.1,11.5,86,7-May-24,1
120,Succinic Acid,C4H6O4,102.1,8,40,7-May-24,1
121,Adipic Acid,C6H10O4,146.1,9.2,34,7-May-24,1
122,Malonic Acid,C4H6O4,102.1,8,96,7-May-24,1
123,Lactic Acid,C3H6O3,90.1,7.5,67,7-May-24,1
124,Fumaric Acid,C4H4O4,116.1,8,63,7-May-24,1
125,Malic Acid,C4H6O5,134.1,9.5,38,7-May-24,1
126,Tartaric Acid,C4H6O6,162.1,11.2,95,7-May-24,1
127,Limonene,C10H16,134.2,12.8,31,7-May-24,1
128,Linalool,C10H18,154.3,13.5,65,7-May-24,1
129,Geraniol,C10H16O,154.2,14.2,4,7-May-24,1
130,Citronellal,C10H20,168.3,15,53,7-May-24,1
131,Eugenol,C10H12O2,162.2,16.8,100,7-May-24,1
132,Butyric Acid,C4H9SO3H,102.1,8.5,30,7-May-24,1
133,Propionic Acid,C4H7SO3H,102.1,8.5,4,7-May-24,1
134,Benzoic Acid,C6H5COOH,122.1,10.2,74,7-May-24,1
135,Salicylic Acid,C7H6O3,138.1,11.5,38,7-May-24,1
136,Succinic Acid,C4H6O4,102.1,8,31,7-May-24,1
137,Adipic Acid,C6H10O4,146.1,9.2,47,7-May-24,1
138,Malonic Acid,C4H6O4,102.1,8,6,7-May-24,1
139,Lactic Acid,C3H6O3,90.1,7.5,69,7-May-24,1
140,Fumaric Acid,C4H4O4,116.1,8,9,7-May-24,1
141,Malic Acid,C4H6O5,134.1,9.5,29,7-May-24,1
142,Tartaric Acid,C4H6O6,162.1,11.2,56,7-May-24,1
143,Limonene,C10H16,134.2,12.8,46,7-May-24,1
144,Linalool,C10H18,154.3,13.5,101,7-May-24,1
145,Geraniol,C10H16O,154.2,14.2,7,7-May-24,1
146,Citronellal,C10H20,168.3,15,6,7-May-24,1
147,Eugenol,C10H12O2,162.2,16.8,87,7-May-24,1
148,Butyric Acid,C4H9SO3H,102.1,8.5,82,7-May-24,1
149,Propionic Acid,C4H7SO3H,102.1,8.5,15,7-May-24,1
150,Benzoic Acid,C6H5COOH,122.1,10.2,32,7-May-24,1
151,Methyl Ethyl Ketone,C4H8O,72.1,9.5,100,7-May-24,1
152,Ethyl Acetate,C3H6O2,58.1,8,47,7-May-24,1
153,Butyl Acetate,C4H8O2,88.1,9,24,7-May-24,1
154,Dibutyl Phthalate,C12H14O2,178.2,10.5,55,7-May-24,1
155,Diethyl Phthalate,C8H8O2,152.1,9.5,44,7-May-24,1
156,Naphthalene,C10H8,128.1,9,103,7-May-24,1
157,Anthracene,C14H10,178.2,11.2,84,7-May-24,1
158,Fluorene,C12H8,144.1,9.5,12,7-May-24,1
159,Pyrene,C12H8,144.1,9.5,78,7-May-24,1
160,Chrysene,C12H8,144.1,9.5,66,7-May-24,1
161,Benz[a]anthracene,C14H10,178.2,11.2,75,7-May-24,1
162,Benzo[a]pyrene,C12H8,144.1,9.5,101,7-May-24,1
163,"Dibenz[a,h]anthracene",C14H10,178.2,11.2,81,7-May-24,1
164,Hydrocortisone,C21H30O3,362.4,16,47,7-May-24,1
165,Testosterone,C19H28O2,288.4,15.5,72,7-May-24,1
166,Minoxidil,C18H27NO3,293.4,14,21,7-May-24,1
167,Tretinoin,C21H30O2,322.4,16.5,70,7-May-24,1
168,Acitretin,C24H28O3,364.4,17,23,7-May-24,1
169,Vitamin A,C20H22O3,304.4,15.5,97,7-May-24,1
170,Vitamin D,C27H40O2,362.4,16.5,75,7-May-24,1
171,Vitamin E,C29H50O2,422.4,19,16,7-May-24,1
172,Vitamin K,C20H26O3,278.4,15.5,44,7-May-24,1
173,Vitamin B1,C12H16N4O4P,183.2,11.5,54,7-May-24,1
174,Vitamin B2,C13H14N4O6P,207.2,12,23,7-May-24,1
175,Vitamin B3,C9H8N4O6S,181.2,10.5,20,7-May-24,1
176,Vitamin B5,C11H16N4O7P,217.2,12,104,7-May-24,1
177,Vitamin B6,C13H17N4O5S,231.2,12.5,85,7-May-24,1
178,Folic Acid,C19H19N7O6,441.4,20,79,7-May-24,1
179,Riboflavin,C13H17N4O6P,258.4,14.5,68,7-May-24,1
180,Thiamine,C12H16N4O6S2,251.2,15.5,31,7-May-24,1
181,Vitamin C,C6H8O6,176.1,9,87,7-May-24,1
182,Biotin,C10H16N4O3S2,247.2,14.5,49,7-May-24,1
183,Pantothenic Acid,C7H8NO4P,168.2,11,10,7-May-24,1
184,Vitamin B12,C63H88CoN14O14P,1379.4,56.5,30,7-May-24,1
185,Glycine,C2H5NO2,75.1,6.5,26,7-May-24,1
186,Proline,C5H9NO3,115.2,8,85,7-May-24,1
187,Serine,C3H7NO3,91.1,7,68,7-May-24,1
188,Threonine,C4H9NO3,117.2,8.5,92,7-May-24,1
189,Valine,C5H11NO2,117.2,8.5,47,7-May-24,1
190,Methionine,C5H11NO2S,155.2,10,77,7-May-24,1
191,Leucine,C5H11NO2,117.2,8.5,67,7-May-24,1
192,Lysine,C6H14N2O2,146.2,9.5,58,7-May-24,1
193,Tyrosine,C6H9NO3,147.2,10,56,7-May-24,1
194,Tryptophan,C5H7NO2,163.2,11,63,7-May-24,1
195,Histidine,C6H9N3O2,153.2,10.5,18,7-May-24,1
196,Isoleucine,C5H11NO2,147.2,8.5,21,7-May-24,1
197,Glutamic Acid,C5H9NO4S2,133.2,9,62,7-May-24,1
