provider_id,name,location_city,location_country,generation_date,batch_number
1, Global Ingredient Suppliers, London, United Kingdom,5/5/24,2
2, Natures Bounty, Seattle, United States,5/5/24,2
3, Organic Essence, Berlin, Germany,5/5/24,2
4, Culinary Creations Inc., Toronto, Canada,5/5/24,2
5, Spice Odyssey, Mumbai, India,5/5/24,2
6, Tropical Delights, Bangkok, Thailand,5/5/24,2
7, French Pantry, Paris, France,5/5/24,2
8, Italian Harvest, Rome, Italy,5/5/24,2
9, Eastern Spices, Hong Kong, China,5/5/24,2
10, Brazilian Botanicals, Rio de Janeiro, Brazil,5/5/24,2
11, Australian Outback Provisions, Sydney, Australia,5/5/24,2
12, Latin American Delights, Mexico City, Mexico,5/5/24,2
13, Arabian Nights Imports, Dubai, United Arab Emirates,5/5/24,2
14, Mediterranean Spice Traders, Athens, Greece,5/5/24,2
15, Nordic Ingredients, Copenhagen, Denmark,5/5/24,2
16, Scandinavian Delights, Stockholm, Sweden,5/5/24,2
17, South African Spice Route, Cape Town, South Africa,5/5/24,2
18, Peruvian Botanicals, Lima, Peru,5/5/24,2
19, New Zealand Provisions, Auckland, New Zealand,5/5/24,2
20, Canadian Maple Producers, Montreal, Canada,5/5/24,2
21, American Harvest, Des Moines, United States,5/5/24,2
22, Spanish Paprika Producers, Madrid, Spain,5/5/24,2
23, Dutch Dairy Products, Amsterdam, Netherlands,5/5/24,2
24, Irish Whiskey Distillery, Dublin, Ireland,5/5/24,2
25, Swiss Chocolate Makers, Zurich, Switzerland,5/5/24,2
26, Japanese Tea Gardens, Kyoto, Japan,5/5/24,2
27, Korean Kimchi Producers, Seoul, South Korea,5/5/24,2
28, Vietnamese Pho Specialists, Hanoi, Vietnam,5/5/24,2
29, Filipino Food Imports, Manila, Philippines,5/5/24,2
30, Argentinean Meat Packers, Buenos Aires, Argentina,5/5/24,2
31, Polish Pierogi Makers, Warsaw, Poland,5/5/24,2
32, Czech Beer Brewers, Prague, Czech Republic,5/5/24,2
33, Hungarian Goulash Producers, Budapest, Hungary,5/5/24,2
34, Belgian Chocolate Conciers, Brussels, Belgium,5/5/24,2
35, Finnish Sauna Wood Suppliers, Helsinki, Finland,5/5/24,2
36, Icelandic Seafood Importers, Reykjavik, Iceland,5/5/24,2
37, Norwegian Salmon Farmers, Bergen, Norway,5/5/24,2
38, Bulgarian Rose Oil Distillers, Sofia, Bulgaria,5/5/24,2
39, Romanian Honey Producers, Bucharest, Romania,5/5/24,2
40, Croatian Olive Oil Importers, Zagreb, Croatia,5/5/24,2
41, Slovakian Winemakers, Bratislava, Slovakia,5/5/24,2
42, Turkish Delight Manufacturers, Istanbul, Turkey,5/5/24,2
43, Egyptian Cotton Growers, Cairo, Egypt,5/5/24,2
44, Moroccan Spice Merchants, Marrakech, Morocco,5/5/24,2
45, Ethiopian Coffee Roasters, Addis Ababa, Ethiopia,5/5/24,2
46, Kenyan Tea Planters, Nairobi, Kenya,5/5/24,2
47, Tanzanian Vanilla Growers, Dodoma, Tanzania,5/5/24,2
48, Malawian Tobacco Farmers, Lilongwe, Malawi,5/5/24,2
49, Ugandan Cocoa Bean Producers, Kampala, Uganda,5/5/24,2
50, South Sudanese Gum Arabic Harvesters, Juba, South Sudan,5/5/24,2
51, Nigerian Palm Oil Processors, Abuja, Nigeria,5/5/24,2
52, Ghanaian Cocoa Bean Farmers, Accra, Ghana,5/5/24,2
53, Guinean Cashew Nut Producers, Conakry, Guinea,5/5/24,2
54, Ivory Coast Coffee Growers, Yamoussoukro, Côte dIvoire,5/5/24,2
55, Burkina Faso Shea Butter Harvesters, Ouagadougou, Burkina Faso,5/5/24,2
56, Senegal Peanut Suppliers, Dakar, Senegal,5/5/24,2
57, Mali Cotton Producers, Bamako, Mali,5/5/24,2
58, Niger Salt Miners, Niamey, Niger,5/5/24,2
59, Cameroon Pepper Producers, Yaoundé, Cameroon,5/5/24,2
60, Central African Republic Coffee Importers, Bangui, Central African Republic,5/5/24,2
61, Dominican Republic Cacao Bean Growers, Santo Domingo, Dominican Republic,5/5/24,2
62, Haitian Rum Distillers, Port-au-Prince, Haiti,5/5/24,2
63, Cuba Cigar Manufacturers, Havana, Cuba,5/5/24,2
64, Honduras Coffee Plantations, Tegucigalpa, Honduras,5/5/24,2
65, Costa Rica Pineapple Growers, San José, Costa Rica,5/5/24,2
66, Panama Cacao Bean Processors, Panama City, Panama,5/5/24,2
67, Portuguese Winemakers, Porto, Portugal,5/5/24,2
68, Irish Whiskey Distillery, Cork, Ireland,5/5/24,2
69, Spanish Olive Oil Producers, Seville, Spain,5/5/24,2
70, Greek Yogurt Makers, Thessaloniki, Greece,5/5/24,2
71, Italian Truffle Farmers, Alba, Italy,5/5/24,2
72, French Cheesemakers, Lyon, France,5/5/24,2
73, Belgian Waffle Specialists, Brussels, Belgium,5/5/24,2
74, Dutch Tulip Growers, Amsterdam, Netherlands,5/5/24,2
