transaction_id,customer_id,flavour_id,quantity_liters,transaction_date,transaction_country,transaction_town,postal_code,amount_dollar,generation_date,batch_number
0,30,313,80000,10/2/23,INDIA,Mumbai,RX4N4N,856000,5/5/24,1
1,8,195,15000,8/23/23,INDIA,Mumbai,T0R1V2,1043000,5/5/24,1
2,75,222,47000,2/11/24,SPAIN,Barcelona,VI6CIO,536000,5/5/24,1
3,18,168,74000,3/11/23,INDIA,Bangalore,Z6T672,1379000,5/5/24,1
4,52,305,30000,3/6/23,JAPAN,Kyoto,AF2RGY,1037000,5/5/24,1
5,44,203,29000,2/6/24,INDIA,Mumbai,ISZU3O,1430000,5/5/24,1
6,56,144,45000,9/25/24,BRAZIL,Porto Alegre,LKUAAC,1385000,5/5/24,1
7,11,328,97000,11/7/24,GERMANY,Frankfurt,D8IP98,1358000,5/5/24,1
8,58,1,67000,1/26/24,FRANCE,Bordeaux,YM21T6,1147000,5/5/24,1
9,42,373,6000,11/15/23,SPAIN,Valencia,S5UQMZ,1320000,5/5/24,1
10,28,340,64000,3/16/24,GERMANY,Frankfurt,SA542P,1194000,5/5/24,1
11,16,476,79000,5/31/23,BRAZIL,São Paulo,SRK1E3,864000,5/5/24,1
12,61,284,67000,8/26/24,ISRAEL,Jerusalem,86JPDQ,1381000,5/5/24,1
13,62,19,54000,9/4/24,BRAZIL,São Paulo,RG6Z59,1086000,5/5/24,1
14,47,206,79000,4/20/23,JAPAN,Nagoya,F9PL4P,1057000,5/5/24,1
15,65,329,70000,12/11/23,INDIA,Hyderabad,3QJ3Q4,1454000,5/5/24,1
16,8,444,28000,4/12/24,GERMANY,Frankfurt,UJYCHY,134000,5/5/24,1
17,24,93,83000,3/13/24,FRANCE,Bordeaux,MBCQ3G,360000,5/5/24,1
18,62,451,82000,11/12/23,INDIA,Kolkata,MRZDDJ,894000,5/5/24,1
19,53,15,62000,3/6/24,GERMANY,Hamburg,3E9EYL,788000,5/5/24,1
20,20,11,82000,2/24/23,CHINA,Beijing,FFPNGS,1859000,5/5/24,1
21,18,164,31000,11/30/24,JAPAN,Nagoya,9487J6,544000,5/5/24,1
22,38,72,41000,6/11/24,BRAZIL,Brasília,U7JPVC,236000,5/5/24,1
23,10,487,27000,3/16/24,ISRAEL,Beer Sheva,I5G0G7,921000,5/5/24,1
24,73,65,95000,5/20/23,GERMANY,Cologne,L3NBPD,1356000,5/5/24,1
25,29,182,22000,7/2/24,ISRAEL,Tel Aviv,QBQDCC,1947000,5/5/24,1
26,28,426,29000,7/24/24,BRAZIL,Rio de Janeiro,UCEGQU,383000,5/5/24,1
27,18,304,74000,10/2/23,FRANCE,Lyon,7YKJG1,974000,5/5/24,1
28,67,20,54000,11/8/23,CHINA,Nanjing,CZIK7G,873000,5/5/24,1
29,63,440,95000,2/20/24,BRAZIL,Fortaleza,XSI86Z,1109000,5/5/24,1
